,DTSTART,DTEND,UID,CREATED,LAST-MODIFIED,LOCATION,SEQUENCE,STATUS,SUMMARY,TRANSP,YEAR_START,MONTH_START,DAY_START,CALDATE_START,TIME_START,YEAR_END,MONTH_END,DAY_END,CALDATE_END,TIME_END,TIME_DURATION
32,20171116T170000Z,20171116T220000Z,3p8eufr9jm6v3guqbngavk2lbi@google.com,20171114T004217Z,20171114T004217Z,"Faculdade de Direito do Recife\, Praça Adolfo Cirne\, S/N - Boa Vi",0,CONFIRMED,Estudar Teoria TCC,OPAQUE,2017,11,16,2017-11-16,17:00,2017,11,16,2017-11-16,22:00,05:00:00
33,20171120T143000Z,20171120T160000Z,6fr3enelf259g2nrpu3hrp6uhq@google.com,20171114T005255Z,20171114T005255Z,UFPE,0,CONFIRMED,Apresentar TCC em Comportamento,OPAQUE,2017,11,20,2017-11-20,14:30,2017,11,20,2017-11-20,16:00,01:59:30
34,20171120T183000Z,20171120T230000Z,6klgpq2aer65r06184t8qidl3q@google.com,20171114T005330Z,20171114T005330Z,,0,CONFIRMED,Reunião WomenDeathBR,OPAQUE,2017,11,20,2017-11-20,18:30,2017,11,20,2017-11-20,23:00,04:59:30
35,20171121T110000Z,20171121T150000Z,1o1uptuom3t929q5c8nkhb7vot@google.com,20171114T005412Z,20171114T005552Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",1,CONFIRMED,Estudar Teoria Fundaj,TRANSPARENT,2017,11,21,2017-11-21,11:00,2017,11,21,2017-11-21,15:00,04:00:00
36,20171115T173000Z,20171115T200000Z,47dpi1jrbi0fbqtivnui1b7174@google.com,20171114T003655Z,20171114T005728Z,,0,CONFIRMED,Finalizar Apresentação TRI II,OPAQUE,2017,11,15,2017-11-15,17:30,2017,11,15,2017-11-15,20:00,02:59:30
37,20171116T120000Z,20171116T140000Z,3cdt1978i7gdcs8m62uptd4ag8@google.com,20171114T003816Z,20171114T005805Z,UFPE,0,CONFIRMED,Apresentação TRI II,OPAQUE,2017,11,16,2017-11-16,12:00,2017,11,16,2017-11-16,14:00,02:00:00
38,20171117T130000Z,20171117T200000Z,0rfc1hddev36fuhbcs04c29cek@google.com,20171114T004300Z,20171114T005846Z,UFPE,0,CONFIRMED,Reunião OSAR,OPAQUE,2017,11,17,2017-11-17,13:00,2017,11,17,2017-11-17,20:00,07:00:00
39,20171124T190000Z,20171124T200000Z,1s49kas8aq5lg69r9of5u91hsg@google.com,20171114T005439Z,20171114T005858Z,UFPE,0,CONFIRMED,Apresentar Fundaj no MPCP,OPAQUE,2017,11,24,2017-11-24,19:00,2017,11,24,2017-11-24,20:00,01:00:00
40,20171122T123000Z,20171122T140000Z,6dhfhbb5lpfmdeddkrq5lvjkq8@google.com,20171114T011128Z,20171114T011128Z,UFPE,0,CONFIRMED,Reunião PELD TAMS,OPAQUE,2017,11,22,2017-11-22,12:30,2017,11,22,2017-11-22,14:00,01:59:30
41,20171119T160000Z,20171119T200000Z,1c05la60lgtd22rl0rsocqc04n@google.com,20171114T011255Z,20171114T011255Z,,0,CONFIRMED,Estudar Mandarim,OPAQUE,2017,11,19,2017-11-19,16:00,2017,11,19,2017-11-19,20:00,04:00:00
42,20171119T120000Z,20171119T153000Z,2cr4p30gmh42s2avoqpm4pam2m@google.com,20171114T004355Z,20171114T011314Z,,1,CONFIRMED,Finalizar Apresentação TCC,TRANSPARENT,2017,11,19,2017-11-19,12:00,2017,11,19,2017-11-19,15:30,03:00:30
43,20171127T143000Z,20171127T163000Z,1hhjshctsll26br98uvsktp942@google.com,20171114T011658Z,20171114T011658Z,,0,CONFIRMED,Entregar TCC em Comportamento,OPAQUE,2017,11,27,2017-11-27,14:30,2017,11,27,2017-11-27,16:30,02:00:00
44,20171204T103000Z,20171204T113000Z,2ho0232aicq44k79e2scva67qe@google.com,20171114T011800Z,20171114T011800Z,UFPE,0,CONFIRMED,Apresentar TCC em TCC,OPAQUE,2017,12,04,2017-12-04,10:30,2017,12,04,2017-12-04,11:30,01:00:00
46,20171205T140000Z,20171205T160000Z,6bfb9jqt46q8mosedu1re165cv@google.com,20171114T011925Z,20171114T011925Z,,0,CONFIRMED,Pegar Priscila no Aeroporto,OPAQUE,2017,12,05,2017-12-05,14:00,2017,12,05,2017-12-05,16:00,02:00:00
47,20171205T120000Z,20171205T140000Z,15h6mjd64782tma226cl57323j@google.com,20171114T011831Z,20171114T011944Z,UFPE,1,CONFIRMED,Workshop PELD,TRANSPARENT,2017,12,05,2017-12-05,12:00,2017,12,05,2017-12-05,14:00,02:00:00
50,20171122T170000Z,20171122T203000Z,2v5na7vebpb0ombvhovdbfuqrf@google.com,20171114T011558Z,20171114T012650Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",1,CONFIRMED,Estudar Teoria Fundaj,TRANSPARENT,2017,11,22,2017-11-22,17:00,2017,11,22,2017-11-22,20:30,03:00:30
51,20171121T170000Z,20171121T200000Z,0fjev1lpl7h3d5cv3p1e076oqr@google.com,20171114T011409Z,20171114T013018Z,"Prefeitura da Cidade do Recife\, Av. Cais do Apolo\, 925 - Recife\",1,CONFIRMED,Reunião Prefeitura,TRANSPARENT,2017,11,21,2017-11-21,17:00,2017,11,21,2017-11-21,20:00,03:00:00
52,20171118T030000Z,20171119T030000Z,0n50d0cq83dkf11u203bn5qprk@google.com,20171114T004323Z,20171118T012616Z,"Praça de Casa Forte\, Recife - PE\, Brasil",1,CONFIRMED,Trabalhar Tese Carol,OPAQUE,2017,11,18,2017-11-18,03:00,2017,11,19,2017-11-19,03:00,00:00:00
53,20171127T190000Z,20171127T210000Z,11ba8uhtbf5tq5qsiof5g1qhed@google.com,20171114T005622Z,20171121T210733Z,"Secretaria De Juventude E Qualificação Profissional\, Av. Norte Mi",1,CONFIRMED,Reunião SecJuv,OPAQUE,2017,11,27,2017-11-27,19:00,2017,11,27,2017-11-27,21:00,02:00:00
54,20171128T170000Z,20171128T200000Z,2vqko0ef6ili891tpchb7t90k4@google.com,20171121T210701Z,20171121T210942Z,"Cais do Apolo\, 222 - Recife\, PE\, 50030-230\, Brasil",0,CONFIRMED,Reunião Com Instituto Pelópidas (andar 12)),OPAQUE,2017,11,28,2017-11-28,17:00,2017,11,28,2017-11-28,20:00,03:00:00
55,20171130T190000Z,20171130T200000Z,2na0eavtejrdegj0kejr6ru4bb@google.com,20171122T194629Z,20171127T111132Z,Sala de Reunião do SEMOC - 12° andar. ,1,CONFIRMED,Reunião do Comitê Intersetorial de Juventude,OPAQUE,2017,11,30,2017-11-30,19:00,2017,11,30,2017-11-30,20:00,01:00:00
56,20171129T170000Z,20171129T200000Z,7g9rqn82uutjjm5eu5cqrl0gl2@google.com,20171127T111309Z,20171127T111309Z,"Paço do Frevo\, R. da Guia\, s.n. - Recife\, PE\, 50030-360\, Bras",0,CONFIRMED,Reunião com o Conselho Juventude,OPAQUE,2017,11,29,2017-11-29,17:00,2017,11,29,2017-11-29,20:00,03:00:00
57,20171201T170000Z,20171201T210000Z,5875f1782qecucll4uqnrlbfvc@google.com,20171127T111352Z,20171127T111352Z,,0,CONFIRMED,Apresentação do PIBIC-FUNDAJ no MPCP,OPAQUE,2017,12,01,2017-12-01,17:00,2017,12,01,2017-12-01,21:00,04:00:00
58,20171128T110000Z,20171128T150000Z,1tji7asq4ff3o5b909qkkgokav@google.com,20171127T111540Z,20171127T111540Z,"R. Dois Irmãos\, 92 - Dois Irmãos\, Recife - PE\, 52171-010\, Bras",0,CONFIRMED,Estudar PIBIC FUNDAJ,OPAQUE,2017,11,28,2017-11-28,11:00,2017,11,28,2017-11-28,15:00,04:00:00
59,20171129T110000Z,20171129T150000Z,5b3avt24ulk5b79o6o0k5bjiba@google.com,20171127T112158Z,20171127T112158Z,"R. Dois Irmãos\, 92 - Dois Irmãos\, Recife - PE\, 52171-010\, Bras",0,CONFIRMED,Estudar PIBIC FUNDAJ,OPAQUE,2017,11,29,2017-11-29,11:00,2017,11,29,2017-11-29,15:00,04:00:00
63,20171208T170000Z,20171208T200000Z,176repfcivdlbcjspli46n1mnu@google.com,20171127T214901Z,20171127T214901Z,,0,CONFIRMED,Reunião DiagJuv em Café,OPAQUE,2017,12,08,2017-12-08,17:00,2017,12,08,2017-12-08,20:00,03:00:00
64,20171215T110000Z,20171215T150000Z,5pu5g0gnlb6quotdstoge1fq9t@google.com,20171130T171847Z,20171130T171847Z,,0,CONFIRMED,Oficina SecJuv na Prefeitura,OPAQUE,2017,12,15,2017-12-15,11:00,2017,12,15,2017-12-15,15:00,04:00:00
65,20180110T180000Z,20180110T200000Z,52q88apoco6l3uan90m1j4i0mo@google.com,20171208T191623Z,20171208T191623Z,,0,CONFIRMED,Reunião DiagJuv,OPAQUE,2018,01,10,2018-01-10,18:00,2018,01,10,2018-01-10,20:00,02:00:00
66,20180108T110000Z,20180108T200000Z,5tg673chc4702n78c4rirsseu9@google.com,20180103T180808Z,20180103T180808Z,,0,CONFIRMED,FUNDAJ,OPAQUE,2018,01,08,2018-01-08,11:00,2018,01,08,2018-01-08,20:00,09:00:00
67,20180104T100000Z,20180104T110000Z,16j4v3q5cs1r3cltpo07n3osvk@google.com,20180103T180924Z,20180103T180924Z,,0,CONFIRMED,Correr,OPAQUE,2018,01,04,2018-01-04,10:00,2018,01,04,2018-01-04,11:00,01:00:00
68,20180104T123000Z,20180104T133000Z,0cs2e0vsbi845inlgmlho9p2k9@google.com,20180103T181005Z,20180103T181005Z,,0,CONFIRMED,Retirar Cheque BB,OPAQUE,2018,01,04,2018-01-04,12:30,2018,01,04,2018-01-04,13:30,01:00:00
69,20180104T170000Z,20180104T220000Z,2dshh1tm34ne9p4k0nbjiotgpd@google.com,20180103T181040Z,20180103T181234Z,"R. Dr. João Asfora\, 26 - Loja 1 - Paissandu\, Recife - PE\, 50070",0,CONFIRMED,Trabalhar no SB Ilha do Leite,OPAQUE,2018,01,04,2018-01-04,17:00,2018,01,04,2018-01-04,22:00,05:00:00
70,20180105T093000Z,20180105T103000Z,6bdvo8ve9h4g3dorlmgrq285u8@google.com,20180103T181625Z,20180103T181625Z,,0,CONFIRMED,Correr,OPAQUE,2018,01,05,2018-01-05,09:30,2018,01,05,2018-01-05,10:30,01:00:00
71,20180105T120000Z,20180105T190000Z,6mpcrfiu0uub4esgcgb182ec9t@google.com,20180103T181734Z,20180103T181734Z,,0,CONFIRMED,Trabalhar em UFPE,OPAQUE,2018,01,05,2018-01-05,12:00,2018,01,05,2018-01-05,19:00,07:00:00
72,20180106T000000Z,20180106T080000Z,778u3ge62sb2qc2eggmkhediaq@google.com,20180103T181805Z,20180103T181805Z,,0,CONFIRMED,Festa da B,OPAQUE,2018,01,06,2018-01-06,00:00,2018,01,06,2018-01-06,08:00,08:00:00
73,20180125T170000Z,20180125T200000Z,3nefjsudrph55crb5of0sent5s@google.com,20171208T191709Z,20180103T182255Z,,0,CONFIRMED,Evento SEJUV na UFPE,OPAQUE,2018,01,25,2018-01-25,17:00,2018,01,25,2018-01-25,20:00,03:00:00
74,20180116T110000Z,20180116T160000Z,1d6m3on6qm1ibvn2f4vq555uf4@google.com,20180109T104156Z,20180109T104211Z,Centro de Estudos e Ensaios em Risco e Modelagem Ambiental (CEERMA,2,CONFIRMED,Workshop Mangue,OPAQUE,2018,01,16,2018-01-16,11:00,2018,01,16,2018-01-16,16:00,05:00:00
75,20180117T110000Z,20180117T160000Z,0heg96ragtb90k12cq718ucpd8@google.com,20180109T104225Z,20180109T104225Z,Centro de Estudos e Ensaios em Risco e Modelagem Ambiental (CEERMA,0,CONFIRMED,Workshop Mangue,OPAQUE,2018,01,17,2018-01-17,11:00,2018,01,17,2018-01-17,16:00,05:00:00
76,20180118T110000Z,20180118T160000Z,583npjvj6opsm7qjmndmpe08mr@google.com,20180109T104235Z,20180109T104235Z,Centro de Estudos e Ensaios em Risco e Modelagem Ambiental (CEERMA,0,CONFIRMED,Workshop Mangue,OPAQUE,2018,01,18,2018-01-18,11:00,2018,01,18,2018-01-18,16:00,05:00:00
77,20180112T190000Z,20180112T200000Z,7b3ejtn582vj3ilrj4ag0inh8b@google.com,20180112T120346Z,20180112T120346Z,,0,CONFIRMED,Ver Ap Engenho do Meio,OPAQUE,2018,01,12,2018-01-12,19:00,2018,01,12,2018-01-12,20:00,01:00:00
78,20180116T160000Z,20180116T180000Z,3t4vbprqkf4vbkc84ragi5bp48@google.com,20180112T120452Z,20180112T120452Z,"Café São Braz\, R. Pessoa de Melo\, 299 - Madalena\, Recife - PE\,",0,CONFIRMED,Reunião Marcelo Pelópidas,OPAQUE,2018,01,16,2018-01-16,16:00,2018,01,16,2018-01-16,18:00,02:00:00
79,20180115T170000Z,20180115T200000Z,44l4p0hvrkhhgl9ao1lnuvbssr@google.com,20180112T121301Z,20180112T121301Z,,0,CONFIRMED,FUNDAJ,OPAQUE,2018,01,15,2018-01-15,17:00,2018,01,15,2018-01-15,20:00,03:00:00
80,20180117T170000Z,20180117T183000Z,08506eiqcs14mh83g8squeeb2c@google.com,20180112T120529Z,20180112T192751Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,1ª Reunião Analytique Consultoria 2018,OPAQUE,2018,01,17,2018-01-17,17:00,2018,01,17,2018-01-17,18:30,01:00:30
81,20180118T200000Z,20180118T210000Z,5amkeeev112h9rdkdt339g07st@google.com,20180117T163245Z,20180117T163245Z,,0,CONFIRMED,Ver Ap na Boa Vista,OPAQUE,2018,01,18,2018-01-18,20:00,2018,01,18,2018-01-18,21:00,01:00:00
82,20180118T160000Z,20180118T190000Z,3qod7a4hihqs2400b619afslb1@google.com,20180117T163312Z,20180117T163323Z,,1,CONFIRMED,FUNDAJ,OPAQUE,2018,01,18,2018-01-18,16:00,2018,01,18,2018-01-18,19:00,03:00:00
83,20180130T170000Z,20180130T200000Z,0l13n2h2kgev70ltui3euk6iq2@google.com,20171222T132736Z,20180117T163611Z,"Sala de Reunião da Secretaria de Desenvolvimento Social\, Juventud",0,CONFIRMED,1º Reunião Ordinária do Comitê Intersetorial de Juventude-2018,OPAQUE,2018,01,30,2018-01-30,17:00,2018,01,30,2018-01-30,20:00,03:00:00
84,20180117T223000Z,20180117T233000Z,135qdj2s8ki1kb4a631k5fpb6i@google.com,20180117T164259Z,20180117T164259Z,,0,CONFIRMED,Reunião com Regiane,OPAQUE,2018,01,17,2018-01-17,22:30,2018,01,17,2018-01-17,23:30,01:00:00
85,20180119T120000Z,20180119T150000Z,3j3p2tsj87pom2r3oejml2abka@google.com,20180109T104313Z,20180118T191019Z,Centro de Estudos e Ensaios em Risco e Modelagem Ambiental (CEERMA,1,CONFIRMED,Workshop Mangue,OPAQUE,2018,01,19,2018-01-19,12:00,2018,01,19,2018-01-19,15:00,03:00:00
86,20180120T120000Z,20180120T150000Z,37k5t3o0l1mm3iesma1qoffb3f@google.com,20180109T104324Z,20180118T191032Z,Centro de Estudos e Ensaios em Risco e Modelagem Ambiental (CEERMA,1,CONFIRMED,Workshop Mangue,OPAQUE,2018,01,20,2018-01-20,12:00,2018,01,20,2018-01-20,15:00,03:00:00
87,20180120T173000Z,20180120T200000Z,060u9nkoa5kq5ekpkeveup67db@google.com,20180118T191201Z,20180118T191201Z,,0,CONFIRMED,Encontro ECONS,OPAQUE,2018,01,20,2018-01-20,17:30,2018,01,20,2018-01-20,20:00,02:59:30
88,20180123T170000Z,20180123T200000Z,5p38v81gvsnrat8a1iq6a5ul1r@google.com,20180117T163419Z,20180118T191310Z,,0,CONFIRMED,Aula Particular R [Marcelo Olímpio],OPAQUE,2018,01,23,2018-01-23,17:00,2018,01,23,2018-01-23,20:00,03:00:00
89,20180124T173000Z,20180124T190000Z,732cjvbdch29tultkir9jrh6eo@google.com,20180118T191710Z,20180118T191718Z,,0,CONFIRMED,Reunião DIAGJUV,OPAQUE,2018,01,24,2018-01-24,17:30,2018,01,24,2018-01-24,19:00,01:59:30
90,20180123T120000Z,20180123T150000Z,72bj4fidj0mjqh4odl9anp57rv@google.com,20180118T191858Z,20180118T191909Z,,0,CONFIRMED,Ver AP,OPAQUE,2018,01,23,2018-01-23,12:00,2018,01,23,2018-01-23,15:00,03:00:00
91,20180119T160000Z,20180119T200000Z,5fq9dg61p2d8voio469k1mit0u@google.com,20180118T192742Z,20180118T192742Z,,0,CONFIRMED,FUNDAJ ou Tattoo,OPAQUE,2018,01,19,2018-01-19,16:00,2018,01,19,2018-01-19,20:00,04:00:00
92,20180121T120000Z,20180121T150000Z,1pkr77jtmclegf7e85cjidrv9c@google.com,20180118T192703Z,20180118T192827Z,,1,CONFIRMED,Trabalhar em DIAGJUV,TRANSPARENT,2018,01,21,2018-01-21,12:00,2018,01,21,2018-01-21,15:00,03:00:00
93,20180121T170000Z,20180121T193000Z,2rnucmjcboleee50jdnnfmf9er@google.com,20180118T192847Z,20180118T192935Z,,1,CONFIRMED,Trabalhar em Material R Aula Particular,TRANSPARENT,2018,01,21,2018-01-21,17:00,2018,01,21,2018-01-21,19:30,02:00:30
94,20180122T170000Z,20180122T200000Z,66h1mntogtd47o3p26627umuug@google.com,20180118T194220Z,20180118T194220Z,"R. Dois Irmãos\, 92 - Dois Irmãos\, Recife - PE\, 52171-010\, Bras",0,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,01,22,2018-01-22,17:00,2018,01,22,2018-01-22,20:00,03:00:00
95,20180122T110000Z,20180122T160000Z,37i75vbe4m7o0kit9arlbci13j@google.com,20180118T191432Z,20180118T194236Z,"R. Dois Irmãos\, 92 - Dois Irmãos\, Recife - PE\, 52171-010\, Bras",1,CONFIRMED,Trabalhar em FUNDAJ,TRANSPARENT,2018,01,22,2018-01-22,11:00,2018,01,22,2018-01-22,16:00,05:00:00
96,20180124T110000Z,20180124T160000Z,5g89gi8r1l04m2me0fvca0m41p@google.com,20180118T194633Z,20180118T194655Z,"Fundação Joaquim Nabuco\, R. Dois Irmãos\, 92 - Dois Irmãos\, Reci",1,CONFIRMED,Trabalhar em Tese Gabi,OPAQUE,2018,01,24,2018-01-24,11:00,2018,01,24,2018-01-24,16:00,05:00:00
98,20180216T120000Z,20180216T150000Z,6roikrvcu2kbhn69gcpdoiohhm@google.com,20180118T195232Z,20180118T195256Z,,0,CONFIRMED,Entregar PIBIC FUNDAJ .1,OPAQUE,2018,02,16,2018-02-16,12:00,2018,02,16,2018-02-16,15:00,03:00:00
99,20180129T120000Z,20180129T200000Z,3csmptavonfpvgvr4c6vv3dprt@google.com,20180117T214510Z,20180118T195351Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Capacitação Interna Analytique [Introdução ao R],OPAQUE,2018,01,29,2018-01-29,12:00,2018,01,29,2018-01-29,20:00,08:00:00
101,20180126T170000Z,20180126T200000Z,42i1d1ta3fc0ubvdi3he89cc4i@google.com,20180118T194745Z,20180118T195810Z,"Fundação Joaquim Nabuco\, R. Dois Irmãos\, 92 - Dois Irmãos\, Reci",1,CONFIRMED,Trabalhar em Fundaj,OPAQUE,2018,01,26,2018-01-26,17:00,2018,01,26,2018-01-26,20:00,03:00:00
102,20180126T110000Z,20180126T153000Z,00vi627k4bsi55p381sveg91qp@google.com,20180118T195450Z,20180118T195831Z,,1,CONFIRMED,Trabalhar em Capacitação Analytique e Tese Gabi,OPAQUE,2018,01,26,2018-01-26,11:00,2018,01,26,2018-01-26,15:30,04:00:30
103,20180131T110000Z,20180131T150000Z,3plf8je0psuvd0f5nmjgsbh148@google.com,20180118T200145Z,20180118T200145Z,,0,CONFIRMED,Trabalhar em FUNDAJ,OPAQUE,2018,01,31,2018-01-31,11:00,2018,01,31,2018-01-31,15:00,04:00:00
